,Completed
720575940604018208,True
720575940604590048,True
720575940605162924,True
720575940605513649,True
720575940605658033,True
720575940605723593,True
720575940606607234,True
720575940606801282,True
720575940606866377,True
720575940607162754,True
720575940607188610,True
720575940607193986,True
720575940607250610,True
720575940607253170,True
720575940607272649,True
720575940607347634,True
720575940607362482,True
720575940607377586,True
720575940607386290,True
720575940607387314,True
720575940607737099,True
720575940608305161,True
720575940608498780,True
720575940609376707,True
720575940609407939,True
720575940609476562,True
720575940609645124,True
720575940609919897,True
720575940609935172,True
720575940609939780,True
720575940610055982,True
720575940610058052,True
720575940610296622,True
720575940610487410,True
720575940610584945,True
720575940610588057,True
720575940610610841,True
720575940610677828,True
720575940610679876,True
720575940610690372,True
720575940610788069,True
720575940610803554,True
720575940610850965,True
720575940610916465,True
720575940611015122,True
720575940611149922,True
720575940611167842,True
720575940611432305,True
720575940611442296,True
720575940611549902,True
720575940611849826,True
720575940611875570,True
720575940612064113,True
720575940612206810,True
720575940612208858,True
720575940612268199,True
720575940612336819,True
720575940612357618,True
720575940612422579,True
720575940612443890,True
720575940612479205,True
720575940612488341,True
720575940612558061,True
720575940612579053,True
720575940612603033,True
720575940612611301,True
720575940612612581,True
720575940612642730,True
720575940612648106,True
720575940612670570,True
720575940612686233,True
720575940612692633,True
720575940612950568,True
720575940613112293,True
720575940613154582,True
720575940613347299,True
720575940613361010,True
720575940613601698,True
720575940613640685,True
720575940613786774,True
720575940613879227,True
720575940613943215,True
720575940613958194,True
720575940613996959,True
720575940614014895,True
720575940614128691,True
720575940614165201,True
720575940614349974,True
720575940614418794,True
720575940614485288,True
720575940614635175,True
720575940614660263,True
720575940614660519,True
720575940614734754,True
720575940614753653,True
720575940614763666,True
720575940614998166,True
720575940615041430,True
720575940615071391,True
720575940615261073,True
720575940615323298,True
720575940615410911,True
720575940615557186,True
720575940615564959,True
720575940615582111,True
720575940615666655,True
720575940615671106,True
720575940615672130,True
720575940615914123,True
720575940615950109,True
720575940616018956,True
720575940616103218,True
720575940616164658,True
720575940616177458,True
720575940616186507,True
720575940616194610,True
720575940616353675,True
720575940616466260,True
720575940616597334,True
720575940616667186,True
720575940616811265,True
720575940616851030,True
720575940616851286,True
720575940616857174,True
720575940616864086,True
720575940616864217,True
720575940616885538,True
720575940616971035,True
720575940617000768,True
720575940617031385,True
720575940617097684,True
720575940617181725,True
720575940617291323,True
720575940617399257,True
720575940617432065,True
720575940617494877,True
720575940617497437,True
720575940617499741,True
720575940617552057,True
720575940617593233,True
720575940617678566,True
720575940617787963,True
720575940617853730,True
720575940617857694,True
720575940617937543,True
720575940618028125,True
720575940618092289,True
720575940618291520,True
720575940618514043,True
720575940618574749,True
720575940618600651,True
720575940618696989,True
720575940618706043,True
720575940618859480,True
720575940619038366,True
720575940619058334,True
720575940619077755,True
720575940619097905,True
720575940619114048,True
720575940619155264,True
720575940619176094,True
720575940619247424,True
720575940619287278,True
720575940619473624,True
720575940619588568,True
720575940619767073,True
720575940619771375,True
720575940619822942,True
720575940619837473,True
720575940619853515,True
720575940619866059,True
720575940619877396,True
720575940619973712,True
720575940620031366,True
720575940620038822,True
720575940620062288,True
720575940620116833,True
720575940620156209,True
720575940620170887,True
720575940620185515,True
720575940620274085,True
720575940620289701,True
720575940620296641,True
720575940620297819,True
720575940620359956,True
720575940620374693,True
720575940620445062,True
720575940620553094,True
720575940620580272,True
720575940620589838,True
720575940620633070,True
720575940620673985,True
720575940620805046,True
720575940620856046,True
720575940620861934,True
720575940620873793,True
720575940620874757,True
720575940620900446,True
720575940620926234,True
720575940620979638,True
720575940621068464,True
720575940621089741,True
720575940621116510,True
720575940621150191,True
720575940621166625,True
720575940621261296,True
720575940621307713,True
720575940621329328,True
720575940621354736,True
720575940621380220,True
720575940621422518,True
720575940621502051,True
720575940621538142,True
720575940621736669,True
720575940621754367,True
720575940621771041,True
720575940621848063,True
720575940621900981,True
720575940621902085,True
720575940621953285,True
720575940621970352,True
720575940622018309,True
720575940622021637,True
720575940622195625,True
720575940622200233,True
720575940622235425,True
720575940622284947,True
720575940622335197,True
720575940622351996,True
720575940622391337,True
720575940622405708,True
720575940622413508,True
720575940622486922,True
720575940622520908,True
720575940622624214,True
720575940622632084,True
720575940622695448,True
720575940622731229,True
720575940622732253,True
720575940622825736,True
720575940622902535,True
720575940622921827,True
720575940623008659,True
720575940623132621,True
720575940623138485,True
720575940623164685,True
720575940623172843,True
720575940623208141,True
720575940623210445,True
720575940623211725,True
720575940623224811,True
720575940623264904,True
720575940623314312,True
720575940623379750,True
720575940623385894,True
720575940623396616,True
720575940623415849,True
720575940623617973,True
720575940623629292,True
720575940623663084,True
720575940623676394,True
720575940623697898,True
720575940623718380,True
720575940623781611,True
720575940623918121,True
720575940623924104,True
720575940623925173,True
720575940624038663,True
720575940624084372,True
720575940624220925,True
720575940624447240,True
720575940624623287,True
720575940624756297,True
720575940624877360,True
720575940624963786,True
720575940624966840,True
720575940624986300,True
720575940625002936,True
720575940625021733,True
720575940625047484,True
720575940625102692,True
720575940625164176,True
720575940625164558,True
720575940625175054,True
720575940625178768,True
720575940625203504,True
720575940625420531,True
720575940625572477,True
720575940625580988,True
720575940625601594,True
720575940625620888,True
720575940625705930,True
720575940625728551,True
720575940625861168,True
720575940625861660,True
720575940625863728,True
720575940625867056,True
720575940626038714,True
720575940626109982,True
720575940626148520,True
720575940626179614,True
720575940626190794,True
720575940626191306,True
720575940626229849,True
720575940626279486,True
720575940626279742,True
720575940626287336,True
720575940626625813,True
720575940626668218,True
720575940626672058,True
720575940626860421,True
720575940626919144,True
720575940626960536,True
720575940626961241,True
720575940626972056,True
720575940627015196,True
720575940627083294,True
720575940627107721,True
720575940627113544,True
720575940627234069,True
720575940627366675,True
720575940627383685,True
720575940627410451,True
720575940627444490,True
720575940627490663,True
720575940627692048,True
720575940627739023,True
720575940627779983,True
720575940627810347,True
720575940627814728,True
720575940627819151,True
720575940627821896,True
720575940627826760,True
720575940627827697,True
720575940627847752,True
